iter	RMSE	PrecisionAt:top=5	RecallAt:top=5	MAP:top=5
0	0.2026594765	0.114125	0.5054515879	0.1229560764
5	0.1852534069	0.168	0.5762661893	0.1933553819
10	0.177455407	0.176375	0.5846728867	0.2083538194
15	0.174003023	0.18175	0.5918920675	0.2153722222
20	0.1724381472	0.184125	0.5947289746	0.2203401042
25	0.1716118451	0.18525	0.5957034084	0.2220744792
30	0.1711136155	0.185625	0.5939054476	0.2238395833
35	0.1707865374	0.186375	0.5953169385	0.225315625
40	0.1705162746	0.1875	0.5986480623	0.2280190972
45	0.1702843	0.1885	0.5982835777	0.2298480903
50	0.1700768102	0.189	0.5995533582	0.2303026042
55	0.1698960163	0.188875	0.5992969122	0.2305470486
60	0.1697276344	0.190125	0.6002686317	0.2311539931
65	0.1695920025	0.1905	0.6006287508	0.2318559028
70	0.1694562393	0.1905	0.6013522714	0.2314942708
75	0.1693141033	0.1905	0.6009418208	0.2315194444
80	0.1691963047	0.191	0.6016157025	0.2327862847
85	0.169078447	0.191	0.6016144398	0.2330840278
90	0.1689355878	0.191875	0.6041456898	0.2336661458
95	0.1688166681	0.192125	0.6038312508	0.2342477431
100	0.1687123665	0.193	0.605229488	0.2349904514
105	0.1686043228	0.193125	0.6048485356	0.2347678819
110	0.1684951901	0.193125	0.6046206358	0.2350282986
115	0.1684064308	0.194125	0.6061433022	0.2360878472
120	0.1683231582	0.194625	0.607202109	0.2362399306
125	0.1682200021	0.194875	0.6079069702	0.2366451389
130	0.1681436287	0.19525	0.6082961296	0.2373267361
135	0.168041208	0.19575	0.6086953112	0.2386788194
140	0.1679452093	0.196125	0.6092503481	0.2384939236
145	0.1678434525	0.19625	0.6085190077	0.238571875
150	0.1677477103	0.196375	0.607965745	0.2395956597
155	0.1676543944	0.196875	0.6083871766	0.2406394097
160	0.1675682966	0.198	0.6094178272	0.2418255208
165	0.1674941019	0.1975	0.6088858713	0.2415654514
170	0.167409627	0.19775	0.6087608828	0.2420118056
175	0.1673330536	0.197875	0.6087816665	0.2421727431
180	0.1672513011	0.198625	0.6105733981	0.2423883681
185	0.167181772	0.1995	0.6110520306	0.2430369792
190	0.1670997986	0.2	0.6110524503	0.2433305556
195	0.1670157044	0.200375	0.6122808729	0.2438829861
200	0.1669413801	0.199375	0.611508294	0.2443576389
205	0.1668767847	0.199625	0.6114754414	0.2445512153
210	0.1668090201	0.19975	0.6115929151	0.2456453125
215	0.1667391825	0.200125	0.6119867149	0.2452182292
220	0.166679345	0.2	0.6127816916	0.2450432292
225	0.1666156249	0.2	0.6121327849	0.2453340278
230	0.1665482737	0.2	0.6113649503	0.2460925347
235	0.1664795761	0.200375	0.6116317772	0.2460828125
240	0.1664129927	0.200875	0.6124570827	0.246896875
245	0.1663434082	0.20075	0.6133182051	0.2471461806
250	0.1662756205	0.201	0.6135116575	0.2472763889
255	0.1661963249	0.2015	0.6146222345	0.2480861111
260	0.1661399464	0.201375	0.6142384625	0.2482760417
265	0.1660834009	0.20175	0.6145631685	0.2488755208
270	0.1660177402	0.20225	0.6151484328	0.2494583333
275	0.1659639787	0.20175	0.6143165875	0.2491989583
280	0.1659031296	0.202125	0.6142421828	0.249315625
285	0.165835084	0.2025	0.6144654407	0.2497779514
290	0.1657852762	0.2025	0.6141227411	0.2500440972
295	0.165738961	0.203	0.6153402511	0.2505380208
300	0.1656805244	0.20275	0.6137107868	0.2502744792
305	0.1656196882	0.20325	0.6153369685	0.25113125
310	0.1655593524	0.202875	0.6153954506	0.2514395833
315	0.1655013519	0.203625	0.6168609764	0.2521592014
320	0.1654350229	0.20375	0.6170172264	0.2529993056
325	0.1653870318	0.204	0.6167322562	0.2535012153
330	0.1653370343	0.204625	0.6172359764	0.2541447917
335	0.1652860136	0.205375	0.6179483524	0.2548711806
340	0.1652371348	0.2055	0.6180872413	0.2550638889
345	0.1651900716	0.20525	0.617910158	0.2551333333
