iter	NDCG:top=5;type=Base_SumError	NDCG:top=5;type=Base_SumWeight	MAP:top=5_SumError	MAP:top=5_SumWeight
0	192.6367413	400	55.69416667	400
1	218.6992875	400	68.67888889	400
2	229.3117018	400	74.73555556	400
3	244.3767081	400	82.88611111	400
4	249.5416612	400	84.48722222	400
5	251.8241825	400	87.98944444	400
6	252.2710307	400	88.27444444	400
7	254.3898047	400	90.47777778	400
8	255.5773034	400	91.05611111	400
9	258.3322581	400	93.25277778	400
10	259.1588469	400	93.37111111	400
11	259.3626654	400	93.68888889	400
12	260.2598918	400	94.03388889	400
13	260.7309644	400	94.94055556	400
14	261.808905	400	95.74222222	400
15	261.9366847	400	96.38888889	400
16	262.6494809	400	97.32333333	400
17	263.3447958	400	98.26611111	400
18	263.9745777	400	98.07222222	400
19	264.2582208	400	98.62777778	400
20	264.7620136	400	98.57055556	400
21	265.056515	400	99.32222222	400
22	265.3743127	400	100.3688889	400
23	265.8178186	400	100.3622222	400
24	265.6092548	400	100.6088889	400
25	266.1075983	400	100.9355556	400
26	266.4695447	400	101.1566667	400
27	266.0629263	400	101.4183333	400
28	266.1056626	400	101.4616667	400
29	266.0132517	400	102.3722222	400
30	265.840498	400	101.48	400
31	265.9501268	400	102.4366667	400
32	265.7660778	400	102.0008333	400
33	265.9060839	400	102.0008333	400
34	265.8753745	400	101.7258333	400
35	266.2484237	400	102.0608333	400
36	266.6872263	400	102.1283333	400
37	266.9749235	400	102.0013889	400
38	267.0148075	400	102.5525	400
39	266.9342129	400	102.0916667	400
40	266.7518654	400	102.2436111	400
41	267.0089795	400	102.7969444	400
42	266.7779419	400	102.7441667	400
43	266.9071508	400	102.9163889	400
44	267.121999	400	102.7497222	400
45	267.5672656	400	102.8863889	400
46	266.9932587	400	102.6297222	400
47	267.2705074	400	102.9347222	400
48	267.324256	400	103.0113889	400
49	267.3380491	400	103.1447222	400
50	267.4434138	400	103.1247222	400
51	267.5281291	400	103.4930556	400
52	267.759588	400	103.0863889	400
53	268.2417298	400	103.3430556	400
54	268.1861981	400	103.4730556	400
55	268.0477556	400	103.6530556	400
56	267.5800032	400	103.1630556	400
57	267.8281088	400	103.2263889	400
58	267.7647679	400	103.1430556	400
59	267.9491366	400	103.1430556	400
60	268.244022	400	103.3530556	400
61	267.9378793	400	103.3097222	400
62	268.193813	400	103.6708333	400
63	268.0525908	400	103.7375	400
64	268.2100891	400	103.7708333	400
65	268.1045425	400	103.5497222	400
66	268.4009675	400	104.0708333	400
67	268.3217522	400	103.7858333	400
68	268.1360873	400	103.7591667	400
69	267.9510311	400	104.0108333	400
70	268.1976493	400	104.0058333	400
71	268.3159496	400	104.1308333	400
72	268.6613727	400	104.1325	400
73	268.9839694	400	104.1897222	400
74	268.8312499	400	104.2258333	400
75	268.4143704	400	104.2547222	400
76	268.496289	400	104.2713889	400
77	268.2663946	400	104.3391667	400
78	268.904871	400	104.3358333	400
79	268.8039834	400	104.3558333	400
80	268.8563161	400	104.6891667	400
81	268.4963084	400	104.3191667	400
82	268.6531669	400	104.5558333	400
83	268.6666223	400	104.0225	400
84	268.7214762	400	104.6158333	400
85	268.9384483	400	105.0591667	400
86	268.7810134	400	104.8625	400
87	268.7700589	400	104.8925	400
88	268.9010266	400	105.0591667	400
89	268.9470011	400	105.1525	400
90	268.8688005	400	105.3725	400
91	269.0592433	400	105.1625	400
92	269.0659503	400	104.9591667	400
93	268.7668493	400	105.2458333	400
94	268.7925763	400	105.2358333	400
95	268.6774337	400	104.1791667	400
96	268.8308077	400	104.2225	400
97	268.9243165	400	104.3425	400
98	268.8299139	400	104.2025	400
99	269.0402987	400	104.8425	400
