iter	Passed	Remaining
0	30	61184
1	40	39960
2	49	33060
3	58	29363
4	68	27249
5	106	35262
6	115	32852
7	124	31002
8	133	29619
9	142	28451
10	173	31379
11	182	30185
12	191	29226
13	200	28404
14	209	27716
15	239	29674
16	248	28987
17	257	28319
18	265	27700
19	275	27245
20	304	28705
21	312	28126
22	321	27623
23	329	27169
24	338	26768
25	367	27863
26	374	27385
27	382	26925
28	389	26471
29	396	26064
30	429	27249
31	436	26830
32	443	26428
33	450	26028
34	457	25702
35	489	26688
36	496	26360
37	504	26039
38	511	25715
39	518	25391
40	544	26021
41	551	25709
42	581	26461
43	588	26182
44	595	25865
45	626	26603
46	633	26304
47	639	26010
48	645	25717
49	652	25440
50	687	26286
51	706	26455
52	714	26259
53	726	26179
54	737	26066
55	777	26997
56	808	27556
57	830	27802
58	855	28154
59	866	28027
60	911	28980
61	929	29064
62	939	28886
63	955	28910
64	966	28769
65	1020	29913
66	1032	29800
67	1043	29652
68	1053	29481
69	1071	29553
70	1120	30447
71	1136	30428
72	1145	30228
73	1154	30041
74	1162	29829
75	1189	30109
76	1195	29861
77	1202	29634
78	1209	29406
79	1215	29178
80	1242	29433
81	1248	29212
82	1255	29001
83	1262	28801
84	1269	28592
85	1295	28824
86	1301	28623
87	1308	28432
88	1315	28240
89	1322	28065
90	1349	28306
91	1355	28120
92	1362	27932
93	1368	27741
94	1374	27558
95	1401	27787
96	1407	27604
97	1413	27435
98	1419	27264
99	1426	27098
100	1452	27311
101	1458	27138
102	1464	26977
103	1471	26818
104	1477	26659
105	1505	26892
106	1510	26730
107	1517	26576
108	1523	26424
109	1529	26277
110	1554	26449
111	1560	26304
112	1566	26151
113	1571	26001
114	1577	25856
115	1629	26458
116	1634	26305
117	1639	26156
118	1645	26010
119	1650	25864
120	1679	26079
121	1684	25937
122	1690	25798
123	1696	25664
124	1701	25527
125	1727	25687
126	1732	25553
127	1738	25423
128	1744	25304
129	1750	25181
130	1774	25317
131	1779	25189
132	1785	25066
133	1791	24943
134	1796	24819
135	1822	24985
136	1829	24872
137	1834	24753
138	1840	24635
139	1846	24528
140	1871	24678
141	1877	24563
142	1883	24456
143	1889	24356
144	1897	24277
145	1923	24426
146	1928	24314
147	1934	24211
148	1940	24103
149	1950	24051
150	1976	24200
151	1981	24095
152	1987	23987
153	1992	23885
154	1998	23785
155	2024	23929
156	2043	23986
157	2049	23891
158	2054	23793
159	2060	23699
160	2090	23878
161	2096	23782
162	2101	23682
163	2107	23588
164	2114	23511
165	2148	23735
166	2154	23646
167	2163	23591
168	2168	23497
169	2174	23405
170	2200	23541
171	2206	23449
172	2211	23356
173	2217	23269
174	2222	23179
175	2248	23305
176	2254	23225
177	2260	23137
178	2265	23049
179	2271	22965
180	2296	23075
181	2303	23008
182	2310	22940
183	2316	22859
184	2321	22774
185	2345	22874
186	2350	22788
187	2355	22706
188	2361	22626
189	2367	22550
190	2391	22653
191	2397	22572
192	2402	22497
193	2408	22422
194	2414	22352
195	2446	22514
196	2451	22433
197	2456	22356
198	2461	22280
199	2467	22209
200	2494	22329
201	2500	22255
202	2506	22184
203	2511	22111
204	2517	22039
205	2552	22226
206	2557	22155
207	2563	22081
208	2568	22009
209	2574	21943
210	2599	22044
211	2605	21970
212	2636	22117
213	2642	22051
214	2647	21983
215	2673	22078
216	2678	22005
217	2683	21935
218	2688	21864
219	2693	21795
220	2722	21914
221	2727	21846
222	2733	21780
223	2740	21724
224	2746	21665
225	2771	21755
226	2776	21689
227	2781	21619
228	2787	21556
229	2792	21491
230	2817	21576
231	2823	21514
232	2828	21449
233	2834	21389
234	2839	21327
235	2864	21409
236	2869	21347
237	2875	21285
238	2889	21288
239	2902	21284
240	2933	21412
241	2938	21349
242	2944	21291
243	2950	21231
244	2955	21171
245	2980	21249
246	2985	21190
