iter	PrecisionAt:top=5	RecallAt:top=5	MAP:top=5
0	0.056875	0.4611269708	0.06597690972
5	0.0895	0.505628464	0.09975538194
10	0.11525	0.5342764843	0.1280126736
15	0.126	0.5432008837	0.1379588542
20	0.149625	0.5627811628	0.1677493056
25	0.151125	0.5645677812	0.1701696181
30	0.155	0.5706527166	0.1756357639
35	0.161875	0.5741755319	0.1880449653
40	0.1645	0.5767218597	0.1921902778
45	0.163375	0.57611928	0.1906541667
50	0.163875	0.5766946005	0.1910907986
55	0.165	0.5779334173	0.1918015625
60	0.16575	0.5776965732	0.1925411458
65	0.1655	0.5776629194	0.1918595486
70	0.166	0.5778152754	0.1921112847
75	0.166	0.5777394588	0.1922467014
80	0.166125	0.5769851154	0.1924373264
85	0.1665	0.577323657	0.1919630208
90	0.166375	0.5772041717	0.1915920139
95	0.16675	0.5774646359	0.1926456597
100	0.167625	0.5783426121	0.1924289931
105	0.167625	0.5785851514	0.1926958333
110	0.168125	0.5784167055	0.1942744792
115	0.17425	0.582803799	0.2043970486
120	0.1735	0.5818870245	0.2046447917
125	0.174375	0.5824493783	0.2067279514
130	0.176	0.5840826275	0.2078098958
135	0.176	0.5841451275	0.2079536458
140	0.17675	0.5852840861	0.2095385417
145	0.17825	0.5867536541	0.2121322917
150	0.178125	0.5867838537	0.212159375
155	0.178375	0.5869876374	0.2126399306
160	0.178125	0.5866977314	0.2127151042
165	0.17825	0.586543946	0.2135899306
170	0.179	0.5866781145	0.2144699653
175	0.18	0.5871109789	0.2146447917
180	0.17925	0.5865612095	0.2149154514
185	0.179875	0.5871530414	0.2158550347
190	0.18025	0.5871292293	0.2161619792
195	0.1805	0.58768907	0.2163744792
200	0.180875	0.5879438048	0.2160307292
205	0.1815	0.5880188241	0.2165314236
210	0.182125	0.5888268598	0.2164855903
215	0.181875	0.5887162829	0.2158939236
220	0.18175	0.5887735745	0.2161756944
225	0.181875	0.5894350173	0.2162215278
230	0.181875	0.5895391839	0.2162980903
235	0.18175	0.589324471	0.2162840278
240	0.18225	0.5900583413	0.2168861111
245	0.182375	0.5902458413	0.2168736111
250	0.182875	0.590725752	0.2174913194
255	0.183	0.5904903353	0.2176001736
260	0.18275	0.590938996	0.2173696181
265	0.182625	0.590657746	0.2173925347
270	0.183125	0.5909623546	0.2179553819
275	0.183375	0.5907703789	0.2185855903
280	0.1835	0.5915057956	0.2184470486
285	0.183625	0.5915602983	0.2189571181
290	0.183625	0.5915690396	0.2185987847
