iter	NDCG:top=5;type=Base_SumError	NDCG:top=5;type=Base_SumWeight	MAP:top=5_SumError	MAP:top=5_SumWeight
0	164.5566386	400	30.51722222	400
1	183.7602655	400	37.62277778	400
2	201.2365237	400	44.20555556	400
3	205.4245722	400	47.26916667	400
4	204.0869461	400	45.995	400
5	206.734497	400	46.41166667	400
6	214.8519787	400	49.16194444	400
7	224.460887	400	56.41777778	400
8	224.7862486	400	56.61444444	400
9	227.4372712	400	58.4475	400
10	227.6034675	400	58.4475	400
11	228.1824819	400	58.42666667	400
12	228.448555	400	59.37555556	400
13	228.2207278	400	59.16111111	400
14	228.73974	400	58.99027778	400
15	234.059298	400	61.20277778	400
16	244.9322538	400	74.92194444	400
17	247.1507939	400	75.95722222	400
18	246.9993498	400	76.07722222	400
19	247.5105358	400	75.87055556	400
20	247.554942	400	75.87055556	400
21	247.6025742	400	76.12194444	400
22	246.8615064	400	75.67638889	400
23	247.1522126	400	76.33805556	400
24	247.2175706	400	76.28805556	400
25	247.4776947	400	76.28805556	400
26	247.3330789	400	76.28805556	400
27	247.3482171	400	76.28805556	400
28	247.5958078	400	76.28805556	400
29	249.7559283	400	76.98805556	400
30	251.447068	400	78.44694444	400
31	251.7444384	400	78.44694444	400
32	251.577193	400	78.44694444	400
33	251.665848	400	78.34694444	400
34	251.6886027	400	78.59694444	400
35	255.0847601	400	82.59111111	400
36	256.2868277	400	84.16666667	400
37	256.1128009	400	83.74111111	400
38	255.8981519	400	83.54111111	400
39	255.6499865	400	83.24555556	400
40	255.6319298	400	83.72444444	400
41	255.6461428	400	83.72444444	400
42	256.1769794	400	84.18277778	400
43	256.1010196	400	84.18277778	400
44	256.2499667	400	84.49444444	400
45	256.4017168	400	84.71333333	400
46	256.650737	400	84.75666667	400
47	256.6437536	400	84.75666667	400
48	256.7778828	400	84.89	400
49	256.7046168	400	84.6775	400
50	257.0124453	400	85.0975	400
51	257.029838	400	85.26416667	400
52	257.202462	400	85.27416667	400
53	257.1854992	400	85.08416667	400
54	257.2735836	400	85.18972222	400
55	257.5070984	400	84.81805556	400
56	257.3756713	400	84.97916667	400
57	257.5715791	400	84.9525	400
58	257.7343963	400	85.08916667	400
59	257.8084125	400	85.0725	400
60	257.4490842	400	84.62416667	400
61	257.4204931	400	84.62416667	400
62	257.4335309	400	84.63694444	400
63	257.7201772	400	84.74944444	400
64	257.7149962	400	84.74944444	400
65	257.8338438	400	84.94944444	400
66	258.0435569	400	85.06055556	400
67	258.0101274	400	84.99722222	400
68	258.2735019	400	84.83777778	400
69	258.4216977	400	84.98111111	400
70	257.9772209	400	84.94777778	400
71	257.5674368	400	84.87944444	400
72	257.5238945	400	85.28944444	400
73	257.8057406	400	85.40694444	400
74	257.9089137	400	85.55694444	400
75	257.970877	400	85.55694444	400
76	257.8742725	400	85.55694444	400
77	258.0112506	400	85.23361111	400
78	257.9623958	400	85.08694444	400
79	258.0314664	400	85.17027778	400
80	258.4167165	400	85.30027778	400
81	258.5539408	400	85.45027778	400
82	258.1840917	400	85.42027778	400
83	258.1840917	400	85.42027778	400
84	258.2699327	400	85.68694444	400
85	257.9554827	400	85.48694444	400
86	258.0860861	400	85.68694444	400
87	257.9135612	400	85.45027778	400
88	258.0211332	400	85.45027778	400
89	258.0725228	400	85.45027778	400
90	258.0442706	400	85.47694444	400
91	258.0442706	400	85.47694444	400
92	258.2615595	400	85.41027778	400
93	257.9641475	400	85.17694444	400
94	258.0093056	400	84.8275	400
95	257.8915365	400	84.78583333	400
96	257.926039	400	85.14027778	400
97	258.0468227	400	84.97361111	400
98	258.1436004	400	85.27361111	400
99	257.9393259	400	84.97472222	400
100	258.0866534	400	84.99805556	400
101	257.9873975	400	84.82138889	400
102	257.8913235	400	84.7925	400
103	258.1870838	400	84.7925	400
104	258.3843579	400	85.2125	400
105	258.4081047	400	85.31583333	400
106	258.1650855	400	85.31583333	400
107	258.0851499	400	85.04916667	400
108	258.0984636	400	85.1325	400
109	258.272509	400	85.41583333	400
110	258.1516641	400	85.34138889	400
111	258.1516641	400	85.34138889	400
112	258.1853277	400	85.34472222	400
113	258.6061811	400	85.93416667	400
114	258.6880238	400	85.92416667	400
115	261.5720811	400	90.12972222	400
116	261.5720811	400	90.12972222	400
117	261.9537283	400	90.32638889	400
118	261.9807555	400	90.81972222	400
119	262.0186959	400	90.84638889	400
120	262.1036113	400	90.96305556	400
121	262.1500908	400	91.07305556	400
122	262.2651207	400	90.95305556	400
123	262.5031612	400	91.33916667	400
124	262.5291286	400	91.33916667	400
125	262.5655001	400	91.33916667	400
126	262.6385112	400	91.33916667	400
127	262.6678874	400	91.2725	400
128	262.6814429	400	91.38361111	400
129	262.9902276	400	91.77861111	400
130	262.9902276	400	91.77861111	400
131	263.1388783	400	91.81194444	400
132	263.0867041	400	91.65083333	400
133	262.7707177	400	91.55083333	400
134	263.0207321	400	91.62083333	400
135	263.0194243	400	91.73194444	400
136	263.3636776	400	92.26972222	400
137	263.5785035	400	92.18305556	400
138	263.8167512	400	92.96972222	400
139	263.8756748	400	93.06638889	400
140	263.7926522	400	93.06638889	400
141	263.6553631	400	93.08638889	400
142	263.3305836	400	93.08638889	400
143	263.4919763	400	93.11972222	400
144	263.445924	400	92.85138889	400
145	263.4576799	400	92.88472222	400
146	263.5358563	400	92.88472222	400
147	263.5358563	400	92.88472222	400
148	263.412576	400	92.88472222	400
149	263.4188917	400	92.93472222	400
150	263.4617998	400	92.93472222	400
151	263.413611	400	92.93472222	400
152	263.3802854	400	92.95472222	400
153	263.4721737	400	92.95472222	400
154	263.5922122	400	93.37138889	400
155	263.5922122	400	93.37138889	400
156	263.588912	400	93.33805556	400
157	263.7738106	400	93.37472222	400
158	263.6179245	400	93.33305556	400
159	263.8267126	400	93.82527778	400
160	264.0025288	400	94.14361111	400
161	264.0443462	400	94.14361111	400
162	264.0443462	400	94.14361111	400
163	263.9799613	400	93.86027778	400
164	263.9131981	400	93.78027778	400
165	263.9575613	400	93.79694444	400
166	263.9743123	400	94.21361111	400
167	263.8986584	400	94.21361111	400
168	263.9081379	400	94.23361111	400
169	264.051049	400	94.39361111	400
170	264.0543591	400	94.39361111	400
171	264.0811012	400	94.44277778	400
172	264.1352083	400	94.47277778	400
173	264.1179528	400	94.47277778	400
174	264.1595764	400	94.29611111	400
175	264.3388542	400	94.60388889	400
176	264.4409041	400	94.72472222	400
177	264.4862126	400	94.93138889	400
178	264.458188	400	94.88138889	400
179	264.5418986	400	94.91472222	400
180	264.5418986	400	94.91472222	400
181	264.5242648	400	94.86472222	400
182	264.5322997	400	95.19138889	400
183	264.5753471	400	95.24694444	400
184	264.5201779	400	94.78361111	400
185	264.3622224	400	94.71694444	400
186	264.4900354	400	94.8875	400
187	264.4900354	400	94.8875	400
188	264.5048987	400	94.8875	400
189	264.4552431	400	95.0375	400
190	264.4076473	400	94.90416667	400
191	264.610763	400	95.0575	400
192	264.5030252	400	94.8775	400
193	264.5079796	400	94.9175	400
194	264.4329306	400	94.96416667	400
195	264.3881598	400	94.83083333	400
196	264.6545711	400	95.73583333	400
197	264.779719	400	95.9975	400
198	264.866957	400	95.8375	400
199	264.796207	400	95.6375	400
200	264.8014375	400	95.68916667	400
201	264.5619637	400	94.93583333	400
202	264.6308092	400	95.01583333	400
203	264.4658051	400	95.0675	400
204	264.4658051	400	95.0675	400
205	264.6641714	400	95.4975	400
206	264.6182915	400	95.6475	400
207	264.6192108	400	95.6275	400
208	264.6414139	400	95.6275	400
209	264.6414139	400	95.6275	400
210	264.6192108	400	95.6275	400
211	264.6192108	400	95.6275	400
212	264.6409726	400	95.6475	400
213	264.6409726	400	95.6475	400
214	264.7035595	400	95.6475	400
215	264.6843876	400	95.7875	400
216	264.7629658	400	95.8875	400
217	264.7753215	400	95.65416667	400
218	264.8402141	400	95.54416667	400
219	264.7910396	400	95.51083333	400
220	264.7469908	400	95.51083333	400
221	264.6157857	400	95.51083333	400
222	264.5899373	400	95.33416667	400
223	264.6905375	400	95.34083333	400
224	264.6470947	400	95.37083333	400
225	264.7104797	400	95.67083333	400
226	264.6869679	400	95.67083333	400
227	264.638779	400	95.67083333	400
228	264.729819	400	95.67083333	400
229	264.8205459	400	95.87083333	400
230	264.8205459	400	95.87083333	400
231	264.746501	400	95.5775	400
232	264.5875523	400	95.5775	400
233	264.7296372	400	95.81083333	400
234	264.8244278	400	95.92916667	400
235	264.7605405	400	95.92916667	400
236	264.7605405	400	95.92916667	400
237	265.0196023	400	96.24916667	400
238	265.0259564	400	96.24916667	400
239	265.0259564	400	96.24916667	400
240	264.9289318	400	96.04916667	400
241	264.8708536	400	96.04916667	400
242	264.8708536	400	96.04916667	400
243	264.8098491	400	96.05916667	400
244	264.8119574	400	96.21916667	400
245	264.8458711	400	96.21916667	400
246	264.8789955	400	96.20916667	400
247	265.1474154	400	96.45166667	400
248	265.0162103	400	96.45166667	400
249	265.0597035	400	96.60166667	400
250	265.1602996	400	96.64722222	400
251	265.1540718	400	96.53722222	400
252	265.2138978	400	96.75388889	400
253	265.3660143	400	97.22388889	400
254	265.3660143	400	97.22388889	400
255	265.227845	400	96.94833333	400
256	265.1520674	400	96.36472222	400
257	265.1070284	400	96.24138889	400
258	265.175829	400	96.34138889	400
259	265.0225764	400	96.37472222	400
260	264.9618282	400	96.25472222	400
261	265.1213009	400	96.63472222	400
262	265.1736261	400	96.47472222	400
263	265.0967251	400	96.63388889	400
264	265.0967251	400	96.63388889	400
265	265.0654316	400	96.63388889	400
266	265.1543147	400	96.60388889	400
267	265.2728352	400	97.07055556	400
268	265.4440369	400	97.52388889	400
269	265.4680278	400	97.70722222	400
270	265.3941749	400	97.54722222	400
271	265.3423331	400	97.69388889	400
272	265.6297519	400	98.56472222	400
273	265.7830048	400	98.47805556	400
274	265.7136205	400	98.20583333	400
275	265.7034245	400	98.28916667	400
276	265.789981	400	98.53916667	400
277	265.789981	400	98.53916667	400
278	265.8016528	400	98.29916667	400
279	265.8389651	400	98.4125	400
280	265.707876	400	98.4125	400
281	265.8769224	400	98.4625	400
282	265.9075335	400	98.4625	400
283	266.0737403	400	98.5725	400
284	266.086238	400	98.5725	400
285	266.0933887	400	98.73916667	400
286	266.0822871	400	98.6725	400
287	266.1146109	400	98.6225	400
288	266.1042556	400	98.8825	400
289	266.1042556	400	98.8825	400
290	266.0545694	400	98.81583333	400
291	266.0505841	400	98.8725	400
292	266.1063451	400	99.03916667	400
293	266.0891888	400	98.94916667	400
294	266.1331468	400	98.94916667	400
295	266.2359259	400	98.94916667	400
296	266.258129	400	98.94916667	400
297	266.2356064	400	98.86583333	400
298	266.2356064	400	98.86583333	400
299	266.2448153	400	98.94916667	400
300	266.292853	400	99.09416667	400
301	266.2580932	400	99.10416667	400
302	266.3249618	400	99.14583333	400
303	266.2735722	400	99.14583333	400
304	266.178264	400	99.09583333	400
305	266.2417136	400	99.09583333	400
306	266.17482	400	98.94083333	400
307	266.1740789	400	99.0475	400
308	266.2254685	400	99.0475	400
309	266.1918301	400	99.01416667	400
310	266.1034647	400	98.83083333	400
311	266.1034647	400	98.83083333	400
312	266.0994721	400	98.83083333	400
313	266.2022513	400	98.83083333	400
314	266.1148695	400	98.72083333	400
315	266.1144639	400	98.72083333	400
316	266.1486279	400	98.68083333	400
317	266.1634912	400	98.80416667	400
318	266.1634912	400	98.80416667	400
319	266.1898335	400	98.92416667	400
320	266.1393797	400	98.87416667	400
321	266.0632902	400	98.76194444	400
322	266.0020391	400	98.67861111	400
323	266.0020391	400	98.67861111	400
324	265.8953027	400	98.45194444	400
325	265.9359225	400	98.3825	400
326	265.9461566	400	98.46583333	400
327	265.9018706	400	98.41583333	400
328	265.8850812	400	98.29416667	400
329	265.9191464	400	98.4025	400
330	265.9283553	400	98.4025	400
331	265.9616599	400	98.46916667	400
332	265.9784979	400	98.48583333	400
333	266.05232	400	98.48583333	400
334	266.0725152	400	98.56916667	400
335	266.0725152	400	98.56916667	400
336	266.0448884	400	98.48583333	400
337	266.0448884	400	98.48583333	400
338	266.1223478	400	98.60583333	400
339	266.1364111	400	98.60583333	400
340	266.3220691	400	98.91583333	400
341	266.239032	400	98.91583333	400
342	266.2350395	400	98.91583333	400
343	266.2350395	400	98.91583333	400
344	266.1917612	400	98.66583333	400
345	266.1059755	400	98.49916667	400
346	266.1090827	400	98.74916667	400
347	265.9130742	400	98.50583333	400
348	266.1090255	400	98.50583333	400
349	266.0900783	400	98.45583333	400
350	266.0855322	400	98.42583333	400
351	266.0972881	400	98.47583333	400
352	265.9810386	400	98.40027778	400
353	265.9677854	400	98.40027778	400
354	266.1113262	400	98.48916667	400
355	266.1113262	400	98.48916667	400
356	266.1113262	400	98.48916667	400
357	266.135183	400	98.5225	400
358	266.135183	400	98.5225	400
359	266.135183	400	98.5225	400
360	266.1809002	400	98.5225	400
361	266.1691443	400	98.48916667	400
362	266.1599354	400	98.48916667	400
363	266.2627271	400	98.53083333	400
364	266.5193358	400	99.05083333	400
365	266.4837963	400	98.80083333	400
366	266.466671	400	98.90083333	400
367	266.3193407	400	98.90083333	400
368	266.2273795	400	98.90083333	400
369	266.2273795	400	98.90083333	400
