iter	PrecisionAt:top=5	RecallAt:top=5	MAP:top=5
0	0.05725	0.4613577827	0.06298090278
5	0.098375	0.5096499334	0.1038663194
10	0.1015	0.5159780584	0.1080104167
15	0.101625	0.5162905584	0.1083645833
20	0.101625	0.5162905584	0.1083645833
25	0.10225	0.517702921	0.1090784722
30	0.102125	0.5176548441	0.1090888889
35	0.1025	0.5178703317	0.1094826389
40	0.1025	0.5178703317	0.1094826389
45	0.102625	0.5178953317	0.1096690972
50	0.1025	0.5178472548	0.1095753472
55	0.102625	0.5178953317	0.1096690972
60	0.102625	0.5178953317	0.1096690972
65	0.102625	0.5178953317	0.1096690972
70	0.102625	0.5178953317	0.1096690972
75	0.102625	0.5178953317	0.1096690972
80	0.102875	0.5180089681	0.1097503472
85	0.102875	0.5180089681	0.1097503472
90	0.103	0.5181131347	0.1098482639
95	0.103125	0.5182577776	0.1099602431
100	0.103125	0.5182577776	0.1099602431
105	0.103125	0.5182577776	0.1100401042
110	0.103125	0.5182577776	0.1100505208
115	0.103125	0.5182577776	0.1100505208
120	0.103125	0.5182577776	0.1100505208
125	0.13	0.5483511273	0.1384807292
130	0.13025	0.5486636273	0.1386777778
135	0.131375	0.5494124456	0.1396036458
140	0.13325	0.5514900994	0.1408008681
145	0.1395	0.5568434955	0.1494255208
150	0.14025	0.5573777216	0.1501119792
155	0.14025	0.5573777216	0.1502939236
160	0.143625	0.5601152323	0.154371875
165	0.142	0.5592691456	0.15195625
170	0.14425	0.5608204871	0.156759375
175	0.144375	0.5611696582	0.1570140625
180	0.14875	0.5655878627	0.1615142361
185	0.14975	0.5666369698	0.1626965278
190	0.151	0.5678392253	0.1653111111
195	0.15625	0.5709189863	0.1737328125
200	0.156875	0.5716186391	0.1739619792
205	0.157625	0.5731515741	0.1754730903
210	0.157875	0.5736857072	0.1755585069
215	0.158	0.5737976863	0.1753381944
220	0.15925	0.5745145268	0.1763140625
225	0.158625	0.5739589386	0.1766241319
230	0.159625	0.5741892539	0.1788282986
235	0.15975	0.5739261366	0.1792300347
240	0.15975	0.5739261366	0.1791744792
245	0.159875	0.5741084283	0.1792411458
250	0.16	0.5742646783	0.1795307292
255	0.16	0.5742646783	0.1794005208
260	0.160125	0.5743393536	0.1791753472
265	0.1605	0.5753383014	0.1816159722
270	0.1605	0.5749487181	0.181553125
275	0.161	0.5753903847	0.1821333333
280	0.161125	0.5754528847	0.1822729167
285	0.16125	0.5756551417	0.1824138889
290	0.16225	0.576521087	0.1831013889
295	0.16225	0.5770674885	0.1833321181
300	0.162125	0.5774008263	0.1829190972
305	0.16275	0.57751134	0.1832060764
310	0.165875	0.5799451431	0.1856789931
315	0.16625	0.5802589502	0.1863232639
320	0.1665	0.5811948763	0.1865690972
325	0.165875	0.5803354186	0.1861034722
330	0.166875	0.5812184653	0.1871423611
335	0.166875	0.5814615208	0.1873645833
340	0.167	0.5811106009	0.1880654514
345	0.167375	0.5812663242	0.1878189236
350	0.1675	0.581307617	0.1879897569
355	0.1675	0.5814249781	0.1878765625
360	0.167875	0.5816810218	0.1885359375
365	0.167625	0.5816636607	0.1882635417
370	0.16825	0.5810068334	0.1887605903
375	0.168625	0.5820428182	0.1890355903
380	0.168625	0.5821712905	0.1889909722
385	0.168875	0.5827029775	0.1893529514
390	0.16825	0.5821566899	0.1890836806
395	0.16825	0.5823718763	0.1891602431
400	0.168625	0.5816307497	0.1893590278
405	0.169125	0.5820023427	0.1896147569
410	0.16925	0.5820447264	0.1896907986
