iter	NDCG:top=5;type=Base_SumError	NDCG:top=5;type=Base_SumWeight	MAP:top=5_SumError	MAP:top=5_SumWeight
0	165.4846251	400	32.43166667	400
1	168.1460406	400	32.43166667	400
2	202.4811353	400	48.385	400
3	202.8202955	400	48.385	400
4	206.5704399	400	49.71833333	400
5	206.5742818	400	49.71833333	400
6	210.6936625	400	51.34555556	400
7	212.7393075	400	51.55555556	400
8	213.4125401	400	51.55555556	400
9	214.7228835	400	51.83055556	400
10	214.7228835	400	51.83055556	400
11	214.7228835	400	51.83055556	400
12	214.7228835	400	51.83055556	400
13	214.7228835	400	51.83055556	400
14	214.7228835	400	51.83055556	400
15	215.1645564	400	51.83055556	400
16	215.1645564	400	51.83055556	400
17	215.1645564	400	51.83055556	400
18	215.1932125	400	51.83055556	400
19	215.1932125	400	51.83055556	400
20	215.1932125	400	51.83055556	400
21	215.1932125	400	51.83055556	400
22	217.2273037	400	52.22555556	400
23	217.2582198	400	52.22555556	400
24	217.7631165	400	52.22555556	400
25	217.7631165	400	52.22555556	400
26	217.7631165	400	52.22555556	400
27	218.0965285	400	52.22555556	400
28	218.0965285	400	52.22555556	400
29	218.0965285	400	52.22555556	400
30	218.0965285	400	52.22555556	400
31	218.0965285	400	52.22555556	400
32	218.0965285	400	52.22555556	400
33	218.0965285	400	52.22555556	400
34	218.5561728	400	52.34666667	400
35	218.5561728	400	52.34666667	400
36	218.5561728	400	52.34666667	400
37	218.6817263	400	52.34666667	400
38	218.6817263	400	52.34666667	400
39	218.72555	400	52.34666667	400
40	218.72555	400	52.34666667	400
41	218.72555	400	52.34666667	400
42	218.9027646	400	52.34666667	400
43	218.9027646	400	52.34666667	400
44	218.9027646	400	52.34666667	400
45	218.9027646	400	52.34666667	400
46	218.9027646	400	52.34666667	400
47	218.9027646	400	52.34666667	400
48	218.9027646	400	52.34666667	400
49	218.9027646	400	52.34666667	400
50	218.9027646	400	52.34666667	400
51	218.9027646	400	52.34666667	400
52	218.9027646	400	52.34666667	400
53	218.9027646	400	52.34666667	400
54	218.9027646	400	52.34666667	400
55	218.9027646	400	52.34666667	400
56	218.9027646	400	52.34666667	400
57	218.9027646	400	52.34666667	400
58	218.9027646	400	52.34666667	400
59	218.9027646	400	52.34666667	400
60	218.9464996	400	52.38666667	400
61	218.9464996	400	52.38666667	400
62	218.9464996	400	52.38666667	400
63	218.9464996	400	52.38666667	400
64	218.9464996	400	52.38666667	400
65	218.9464996	400	52.38666667	400
66	218.9464996	400	52.38666667	400
67	218.9464996	400	52.38666667	400
68	218.9464996	400	52.38666667	400
69	218.9464996	400	52.38666667	400
70	218.9464996	400	52.38666667	400
71	218.9464996	400	52.38666667	400
72	218.9464996	400	52.38666667	400
73	218.9464996	400	52.38666667	400
74	218.9464996	400	52.38666667	400
75	219.2531882	400	52.38666667	400
76	219.2531882	400	52.38666667	400
77	219.2531882	400	52.38666667	400
78	219.2531882	400	52.38666667	400
79	219.2531882	400	52.38666667	400
80	219.2531882	400	52.38666667	400
81	219.2531882	400	52.38666667	400
82	219.2531882	400	52.38666667	400
83	219.2531882	400	52.38666667	400
84	219.2531882	400	52.38666667	400
85	219.2531882	400	52.38666667	400
86	219.2531882	400	52.38666667	400
87	219.2531882	400	52.38666667	400
88	219.2531882	400	52.38666667	400
89	219.2531882	400	52.38666667	400
90	219.2531882	400	52.38666667	400
91	219.2531882	400	52.38666667	400
92	219.2531882	400	52.38666667	400
93	219.4407116	400	52.56666667	400
94	219.4407116	400	52.56666667	400
95	219.4407116	400	52.56666667	400
96	219.4407116	400	52.56666667	400
97	219.4407116	400	52.56666667	400
98	219.4407116	400	52.56666667	400
99	219.4407116	400	52.56666667	400
100	219.4407116	400	52.56666667	400
101	219.4407116	400	52.56666667	400
102	219.4407116	400	52.56666667	400
103	219.4407116	400	52.56666667	400
104	219.4407116	400	52.56666667	400
105	219.5697344	400	52.56666667	400
106	219.5697344	400	52.56666667	400
107	219.5697344	400	52.56666667	400
108	219.5697344	400	52.56666667	400
109	219.7546004	400	52.82666667	400
110	219.7546004	400	52.82666667	400
111	219.7546004	400	52.82666667	400
112	219.7546004	400	52.82666667	400
113	219.7546004	400	52.82666667	400
114	219.7546004	400	52.82666667	400
115	219.7546004	400	52.82666667	400
116	219.7546004	400	52.82666667	400
117	219.7546004	400	52.82666667	400
118	219.7546004	400	52.82666667	400
119	219.7546004	400	52.82666667	400
120	219.7546004	400	52.82666667	400
121	219.7546004	400	52.82666667	400
122	219.7546004	400	52.82666667	400
123	224.317216	400	56.655	400
124	234.2773241	400	64.835	400
125	234.96531	400	65.345	400
126	234.96531	400	65.345	400
127	234.96531	400	65.345	400
128	234.9711316	400	65.345	400
129	234.9711316	400	65.345	400
130	234.9711316	400	65.345	400
131	235.461724	400	65.62166667	400
132	235.461724	400	65.62166667	400
133	235.461724	400	65.62166667	400
134	235.461724	400	65.62166667	400
135	235.461724	400	65.62166667	400
136	235.461724	400	65.62166667	400
137	235.466012	400	65.62166667	400
138	235.466012	400	65.62166667	400
139	235.466012	400	65.62166667	400
140	235.8517831	400	65.62166667	400
141	235.8955181	400	65.62166667	400
142	235.8955181	400	65.62166667	400
143	238.8880698	400	68.18694444	400
144	238.7510533	400	68.345	400
145	239.8323597	400	69.63166667	400
146	239.8561216	400	69.63166667	400
147	239.8561216	400	69.63166667	400
148	239.8123866	400	69.63166667	400
149	239.8045371	400	69.63166667	400
150	239.8045371	400	69.63166667	400
151	239.8482721	400	69.63166667	400
152	239.8482721	400	69.63166667	400
153	239.8656649	400	69.63166667	400
154	239.8656649	400	69.63166667	400
155	239.7853857	400	69.63166667	400
156	239.7853857	400	69.63166667	400
157	239.7853857	400	69.63166667	400
158	240.6589133	400	71.455	400
159	242.3204826	400	73.83666667	400
