iter	Passed	Remaining
0	103	206615
1	160	159992
2	217	144556
3	273	136611
4	326	130114
5	383	127601
6	417	118889
7	451	112395
8	485	107397
9	519	103401
10	582	105247
11	614	101830
12	647	98983
13	681	96739
14	716	94837
15	773	95973
16	806	94077
17	840	92531
18	874	91205
19	908	89912
20	963	90834
21	997	89639
22	1029	88517
23	1064	87666
24	1103	87182
25	1165	88475
26	1197	87506
27	1230	86680
28	1266	86060
29	1300	85407
30	1357	86222
31	1390	85498
32	1423	84863
33	1457	84298
34	1492	83777
35	1550	84589
36	1583	83997
37	1616	83453
38	1650	83012
39	1684	82553
40	1744	83364
41	1777	82853
42	1811	82445
43	1844	81998
44	1877	81587
45	1935	82202
46	1968	81790
47	2001	81383
48	2035	81032
49	2069	80711
50	2127	81313
51	2169	81258
52	2201	80885
53	2236	80591
54	2270	80307
55	2328	80824
56	2361	80497
57	2394	80172
58	2428	79903
59	2462	79626
60	2519	80090
61	2559	80003
62	2592	79708
63	2626	79444
64	2659	79185
65	2717	79630
66	2749	79332
67	2792	79346
68	2826	79095
69	2863	78958
70	2919	79331
71	2952	79054
72	2985	78797
73	3019	78585
74	3053	78366
75	3108	78690
76	3141	78446
77	3179	78342
78	3213	78130
79	3247	77947
80	3303	78259
81	3335	78023
82	3369	77821
83	3403	77633
84	3437	77442
85	3491	77708
86	3526	77543
87	3563	77430
88	3611	77543
89	3663	77757
90	3733	78317
91	3778	78365
92	3816	78268
93	3874	78558
94	3938	78970
95	4044	80217
96	4104	80514
97	4168	80895
98	4234	81305
99	4296	81633
100	4392	82582
101	4442	82656
102	4486	82627
103	4531	82618
104	4579	82646
105	4689	83787
106	4752	84085
107	4819	84429
108	4885	84763
109	4945	84979
110	5046	85880
111	5105	86062
112	5163	86228
113	5206	86135
114	5262	86258
115	5360	87067
116	5413	87126
117	5468	87218
118	5525	87338
119	5582	87452
120	5674	88114
121	5736	88301
122	5799	88497
123	5861	88679
124	5930	88956
125	6042	89867
126	6106	90057
127	6172	90269
128	6236	90449
129	6302	90661
130	6415	91526
131	6478	91678
132	6542	91845
133	6600	91907
134	6671	92172
135	6784	92982
136	6840	93024
137	6903	93151
138	6964	93240
139	7029	93392
140	7134	94068
141	7166	93775
142	7199	93495
143	7233	93230
144	7267	92979
145	7341	93226
146	7374	92961
147	7407	92691
148	7441	92447
149	7475	92201
150	7531	92219
151	7571	92059
152	7604	91803
153	7638	91565
154	7672	91332
155	7729	91367
156	7763	91139
157	7797	90901
158	7831	90672
159	7865	90447
160	7921	90486
161	7953	90240
162	7987	90016
163	8021	89799
164	8055	89589
165	8113	89640
166	8146	89417
167	8179	89198
168	8213	88985
169	8248	88795
170	8304	88828
171	8336	88601
172	8380	88504
173	8415	88311
174	8449	88119
175	8506	88159
176	8539	87948
177	8582	87853
178	8615	87652
179	8649	87454
180	8704	87475
181	8736	87273
182	8771	87090
183	8804	86899
184	8840	86735
185	8899	86797
186	8932	86597
187	8965	86409
188	8999	86236
189	9034	86067
190	9091	86103
191	9124	85926
192	9158	85748
193	9192	85572
194	9225	85393
195	9284	85450
196	9316	85265
197	9349	85086
198	9387	84962
199	9425	84829
200	9482	84867
201	9514	84686
202	9546	84509
203	9589	84421
204	9623	84263
205	9680	84305
206	9715	84155
207	9749	83998
208	9784	83847
209	9821	83712
210	9880	83770
211	9911	83596
212	9945	83436
213	9978	83280
214	10012	83125
215	10075	83214
216	10108	83054
217	10141	82901
218	10175	82751
219	10212	82624
220	10268	82660
221	10300	82498
222	10335	82361
223	10370	82224
224	10412	82141
225	10470	82190
226	10503	82041
227	10536	81890
228	10572	81762
229	10606	81626
230	10663	81657
231	10696	81514
232	10729	81369
233	10765	81243
234	10800	81115
235	10866	81221
236	10898	81073
237	10931	80929
238	10965	80793
239	10999	80665
240	11056	80701
241	11088	80552
242	11121	80416
243	11155	80283
244	11188	80145
245	11246	80189
246	11279	80049
247	11312	79917
248	11346	79791
249	11380	79666
250	11449	79784
251	11481	79642
252	11515	79515
253	11551	79402
254	11595	79350
255	11652	79383
256	11685	79254
257	11720	79135
258	11755	79017
259	11791	78914
260	11848	78942
261	11882	78824
262	11916	78700
263	11950	78585
264	11985	78471
265	12042	78502
266	12076	78384
267	12111	78271
268	12145	78154
269	12178	78032
270	12235	78061
271	12267	77935
272	12300	77813
273	12336	77710
274	12370	77598
275	12430	77643
276	12467	77551
277	12502	77444
278	12536	77330
279	12570	77215
280	12639	77321
281	12671	77197
282	12706	77089
283	12740	76978
284	12779	76899
285	12846	76988
286	12880	76881
287	12916	76780
288	12951	76678
289	12986	76573
290	13045	76611
291	13077	76495
292	13112	76390
293	13146	76282
294	13179	76174
295	13238	76208
296	13271	76098
297	13305	75991
298	13339	75886
299	13372	75778
300	13432	75817
301	13464	75704
302	13512	75679
303	13545	75571
304	13581	75475
305	13655	75597
306	13689	75494
307	13725	75398
308	13760	75304
309	13797	75216
310	13857	75258
311	13896	75181
312	13931	75090
313	13967	74996
314	14001	74894
315	14060	74927
316	14096	74839
317	14129	74734
318	14162	74633
319	14198	74539
320	14255	74561
321	14287	74455
322	14319	74347
323	14354	74254
324	14388	74156
325	14443	74164
